year,source id,target id
2001,111094,104090
2001,105182,1113
2001,103095,9509074
2001,104139,10204
2000,8173,9705044
2001,105193,9503230
2000,12067,9912279
2001,103089,2117
2000,11115,9904179
2000,8147,9905046
2001,101126,9612121
2000,11019,9903205
2001,107081,9906234
2000,11095,9909202
2000,2144,9908128
2001,109099,108055
2001,111070,3052
2000,5145,9902098
2000,9022,8190
2001,101126,9508154
2001,108168,9811172
2001,102040,9804072
2001,110212,9903255
2001,9158,6207
2000,5147,9903037
2000,4152,9801199
2000,6087,9910135
2000,9141,9908134
2000,7253,9604179
2001,109170,9409188
2000,4124,9912012
2001,10203,2091
2001,11083,9709175
2001,12213,9503030
2001,105117,101076
2000,12059,6090
2001,112202,12251
2001,104267,2015
2001,103108,102138
2000,11109,9506135
2000,9907123,9812055
2000,5098,9511222
2001,108043,12137
2001,107060,9510225
2000,7106,9812219
2001,110055,9601096
2000,2191,9712160
2001,104087,9407182
2001,104124,11111
2001,110036,9608047
2001,102133,2004
2001,102099,9712004
2000,7155,9803031
2001,108128,6234
2000,1053,9403141
2000,6054,9907124
2000,5136,9910096
2001,109070,105311
2001,108085,9810188
2000,1185,9605104
2001,104136,9906055
2000,2116,9708005
2001,111281,111034
2001,104164,11033
2001,105198,9907182
2001,12068,9902115
2001,103163,10241
2000,9252,3124
2000,9185,9810251
2000,5272,1203
2001,107152,9407087
2001,101226,11079
2000,6196,9602043
2000,1001,9506048
2001,104208,9612182
2001,108124,9303005
2000,9907123,9804104
2001,104230,9311177
2000,5204,3160
2001,110108,9806146
2001,108204,9706225
2000,10244,9911098
2001,104254,6189
2000,6192,9906064
2001,104141,103241
2001,108189,101195
2000,3192,9712157
2000,10167,9707013
2001,108052,9711200
2000,6011,9604030
2000,6017,9512143
2001,106281,3160
2001,106258,8123
2000,6038,6025
2001,105109,9901082
2001,104069,101096
2000,9909056,9301052
2001,12250,9408099
2001,108216,107251
2000,1201,9705120
2001,101126,9511043
2001,106198,9908056
2001,12049,2190
2001,101057,5165
2000,11222,9801139
2000,7109,9911238
2001,12085,9805109
2000,9711182,9502140
2001,109146,107055
2000,5145,9702187
2001,101126,9911116
2000,8097,9903006
2000,1167,9901080
2001,111284,9407087
2000,8119,7052
2000,9025,9510135
2001,104050,12037
2001,107090,7024
2001,110066,9908056
2000,9912257,9908125
2000,1045,9912291
2000,6069,9912287
2001,111121,9710009
2001,102076,101199
2001,103167,101096
2001,110132,110022
2001,109122,107134
2001,105171,3055
2000,6191,9510209
2001,110006,9811169
2000,3020,9912135
2000,7107,9802068
2001,106223,9202011
2000,5208,3007
2000,7071,9506112
2000,2116,9803068
2000,9910178,9710176
2001,7094,9701060
2000,7170,9612062
2001,103095,9708046
2001,106127,9905012
2001,105087,9810099
2000,3103,9905075
2000,8075,9908142
2000,2076,9906064
2000,2030,9805028
2001,101038,9707018
2001,101199,5031
2000,1200,9910170
2000,6176,9906194
2000,2255,9711200
2000,7239,5025
2001,103204,9906240
2001,112121,9901125
2000,5193,9906064
2001,105304,9806199
2001,105066,9906012
2000,8190,4124
2001,106008,9711200
2001,12143,2174
2000,8225,9711200
2001,103064,9137
2000,3141,9305014
2000,8088,8015
2000,7012,9810188
2000,2184,9604134
2000,3102,9905111
2000,9038,3124
2000,3032,9911172
2000,3114,9908142
2001,108192,105181
2001,102021,9905061
2001,105174,1025
2000,5133,9806168
2001,104022,9712066
2000,10034,9908142
2001,103262,9712185
2001,107082,9503227
2000,5091,9712130
2000,7067,9408074
2000,3208,9804199
2001,103248,9811141
2000,4030,9909070
2001,104243,10066
2001,10272,3013
2001,111050,104105
2000,11077,10088
2001,105257,9903187
2001,110123,9901147
2000,3151,9810201
2001,105237,9804177
2001,110084,9610171
2001,107101,105059
2000,5238,9911209
2001,101060,9909001
2000,7234,9806216
2001,103079,10021
2001,112056,9910076
2000,5130,9407087
2000,6249,9811241
2001,112160,9608078
2000,8019,7022
2001,108177,9910187
2001,103112,9807033
2001,105010,9405194
2001,109177,2160
2001,105090,9710078
2000,1010,9706225
2001,106155,9504090
2001,105123,9904056
2001,105256,9911055
2000,8142,9305115
2001,101135,9907013
2001,105311,12266
2001,112066,9910245
2000,1189,9803265
2000,11020,9610148
2000,4180,9403101
2000,3200,9901093
2001,102032,1002
2000,4026,9204083
2001,105090,9507158
2000,5093,9704011
2001,102167,9503157
2001,101026,1056
2000,2239,9707253
2000,4111,9802109
2000,10116,9907142
2001,112230,9812090
2000,5151,9810227
2000,2039,9905174
2001,107220,9510086
2001,111080,9611209
2000,5017,9909076
2000,8129,9910045
2000,6219,9912072
2001,8205,4183
2000,2184,9711200
2001,108136,9804169
2000,4188,9905196
2000,3086,7159
2000,4046,9912199
2001,107051,9707250
2000,5087,1103
2001,107032,9301067
2001,11251,1066
2000,7129,9306154
2000,10270,9510086
2001,107165,12072
2000,12252,9603166
2001,101126,9710178
2000,2118,9807171
2001,106201,5242
2000,9015,9912018
2000,11102,9611072
2001,103217,9142
2000,11095,6091
2000,1070,9604163
2000,9906129,9805153
2000,4080,9607052
2000,6052,9611163
2001,111189,9903112
2000,2245,9510087
2000,6139,2121
2001,105258,3136
2001,103031,9803076
2001,111235,9303040
2001,105199,9901009
2001,105164,9812232
2000,5047,9907178
2001,105023,9701149
2001,107239,9402005
2000,4079,9902057
2001,101126,9707250
2001,106026,105225
2000,11281,9608117
2001,109092,9909121
